segment no.	mm	section	segment	tempo (score)	meter	data SV	Walter 1938	Scherchen 1950	Horenstein 1952	Rosbaud 1954	Kletzki 1954	Ludwig 1959	Mitropoulos 1960a	Horenstein 1960	Mitropoulos 1960b	Barbirolli 1960	Walter 1961	Barbirolli 1962	Barbirolli 1964	Kondrashin 1964	Bernstein 1965	Ančerl 1966	Horenstein 1966a	Horenstein 1966b	Klemperer 1967	Kubelík 1967b	Kondrashin 1967	Solti 1967	Horenstein 1967	Neumann 1967	Szell 1968	Szell 1969	Abravanel 1969	Haitink 1969	Klemperer 1970	Bernstein 1971a	Maderna 1971	Boulez 1971	Boulez 1972	Maderna 1972	Giulini 1975	Kubelík 1975	Giulini 1976	Zender 1977	Morris 1978	Levine 1979	Sanderling 1979	Tennstedt 1979	Bernstein 1979a	Bernstein 1979b	Karajan 1980	Neumann 1982	Tennstedt 1982b	Karajan 1982a	Solti 1982b	Sanderling 1982	Karajan 1982c	Asahina 1983	Wakasugi 1983	Maazel 1984	Doráti 1984	Bertini 1985	Bernstein 1985a	Bernstein 1985b	Inbal 1986	Abbado 1987	Sanderling 1987	Haitink 1987	Tennstedt 1988	Rögner 1988	Ozawa 1989	Pešek 1990	Gielen 1990	Tabakov 1991	Segerstam 1991	Sanderling 1992	Haitink 1993	Barshai 1993	Sinopoli 1993	Rattle 1993	Masur 1994	Waart 1995	Boulez 1995	Maazel 1996	Sinopoli 1997	Dohnányi 1997	Levine 1999	Abbado 1999	Jansons 2000	Paternostro 2001	Ashkenazy 2002	Ozawa 2002	Gielen 2003	Haitink 2004	Chailly 2004	Tilson Thomas 2004	Schwarz 2006	Barenboim 2006	Rattle 2007b	Gilbert 2008	Nott 2008	Salonen 2009	Järvi 2009	Oue 2009	Haitink 2009	Norrington 2009	Zinman 2009	Abbado 2010	Gergiev 2011	Ashkenazy 2011	Maazel 2011	Haitink 2011b	Schønwandt 2012	Dudamel 2012	Chung 2013	Chailly 2013	Fischer 2013b	Stenz 2014	Sladkovsky 2016	Harding 2016	Jansons 2016	Noseda 2017	Netopil 2018	Levi 2018	Blomstedt 2018	Fischer 2019	Currentzis 2019		
1	1	A1	X1	Andante comodo	4/4	1	3,48299320	7,54358277	0,94040816	0,95492064	9,56662132	7,15755102	0,81995465	1,74040816	3,26095238	0,53551020	7,67564626	1,19727891	7,62557823	1,34530612	1,114557823	1,158095238	0,893968254	2,554195011	2,690612245	3,018594104	2,586122449	0,812698413	1,230657596	0,895419501	2,809614512	0,895419501	0,116099773	1,528888889	2,829206349	2,663038549	1,66893424	1,488979592	3,408253968	1,181315193	0,783673469	0,667573696	3,900952381	4,240544218	1,9969161	12,07437642	0,787301587	3,085351474	2,745759637	3,709387755	1,973696145	0,693696145	0,879455782	12,29061225	5,291247166	4,197006803	2,739954649	4,690430839	1,915646259	1,184217687	3,419138322	1,349659864	1,462857143	1,056507937	0,580498866	2,180498866	0,195918367	1,306122449	4,063492063	0,507936508	5,38122449	2,693514739	1,606530612	0,928798186	0,47600907	4,411791383	2,525170068	2,29877551	5,629387755	5,539410431	1,439637188	2,507755102	5,050340136	2,089795918	1,160997732	5,328979592	2,612244898	1,410612245	7,314285714	2,481632653	2,420680272	5,297052154	1,754557823	1,381587302	3,111473923	9,473741497	0,60952381	3,748571429	4,458231293	4,060589569	2,002721088	3,877732426	21,41170068	1,859047619	5,572789116	1,262585034	5,079365079	1,509297052	6,873106576	1,671836735	3,46122449	1,323537415	2,834285714	4,780408163	3,668752834	2,554195011	2,67755102	2,838639456	0,65015873	1,503492063	0,812698413	1,181315193	0,645804989	1,243718821	1,306122449	2,905396825	1,097142857		
2	6.4		A1a			2	25,47229025	24,32000000	23,93687075	21,73605442	34,27918367	26,78421769	18,77732426	23,32154195	26,82920635	25,26621315	26,53605442	25,26331066	30,10176871	21,96099773	23,52979592	23,42893424	24,47619048	25,03836735	25,09496599	25,50857143	23,57115646	22,57777778	23,42312925	19,92272109	22,39564626	20,3537415	23,76562358	25,03873016	25,62539683	25,18204082	28,59537415	27,34439909	28,14258503	29,04816327	24,94058957	24,88018141	27,92199547	23,56099773	20,94439909	36,28698413	27,42131519	26,01795918	26,08326531	27,60852608	28,14494331	20,57142857	24,40489796	33,14648526	29,49950113	28,43573696	23,9629932	26,50340136	26,10503401	25,6522449	24,23945578	23,32734694	25,50965986	26,34884354	23,75836735	23,94013605	23,00517007	26,17469388	25,00498866	18,28571429	28,50539683	24,92408163	23,85995465	26,36190476	28,14258503	28,04970522	26,02956916	22,06693878	25,56081633	31,03346939	23,37959184	27,63755102	30,45587302	27,85959184	25,98893424	30,33396825	24,35773243	23,27219955	32,71927438	26,30530612	24,1168254	28,19555556	24,01179138	23,07047619	33,23936508	33,56734694	22,28244898	26,63836735	31,11836735	29,0829932	27,3937415	25,11673469	49,06376417	23,98476191	28,47346939	25,13995465	30,25560091	25,48244898	29,96825397	23,1444898	30,82739229	21,64099773	26,48816327	28,52861678	28,94657596	24,12190476	23,26349206	25,56517007	26,30820862	23,9107483	23,80045352	20,33632653	24,6276644	26,60063492	23,77795918	25,67111111	22,47836735		
3	17.6		A1b	17: morendo (Vc.)	6/4 (17)	3	71,05306122	59,28054422	72,18503401	61,60834467	77,93197279	67,90095238	57,43746032	63,86213152	78,49904762	73,09931973	77,14539683	75,25877551	79,62775510	65,89714286	74,92571429	66,57777778	70,79764172	71,21269841	71,51746032	71,90204082	65,6892517	70,37968254	67,2740136	62,17142857	63,98040816	62,66122449	72,28952381	74,02521542	73,09351474	77,11346939	88,97886621	83,77034014	79,64444444	88,24816327	80,17269841	74,44462585	84,50612245	64,44698413	63,97097506	90,59555556	79,38321996	82,57015873	79,29614513	81,73424036	81,38594104	63,52979592	78,10612245	79,94195011	79,62122449	77,25278912	66,7631746	73,2429932	77,96390023	75,34875283	70,75120181	71,67709751	79,41950113	85,79192744	73,34603175	70,68154195	68,67156463	78,55891157	75,86031746	54,71492064	77,1599093	71,95428571	68,77750567	84,56707483	85,0155102	75,33424036	76,45170068	64,42376417	72,73795918	84,38204082	67,3785034	79,27292517	83,17968254	76,40816327	80,71836735	82,37278912	74,47510204	71,92380952	82,6122449	80,89904762	71,83673469	80,71836735	72,93968254	68,28408163	92,27755102	85,63519274	72,61460318	73,05650794	85,23102041	77,67945578	81,42367347	70,40870748	106,5795918	74,58249433	77,86231293	73,66530612	84,45097506	74,83936508	79,62412698	71,85995465	92,43863946	65,69650794	77,67800454	83,47573696	84,05623583	67,97641723	63,88825397	73,77560091	78,83755102	72,57687075	71,26857143	59,97714286	72,74811791	81,98603175	68,94294785	71,07918367	71,11183674		
4	27.1.x	B1	Y1		4/4 (18), 6/4 (26)	4	116,16943311	88,86276644	115,84870748	95,30521542	113,66167801	106,54911565	91,39954649	99,91546485	122,97578231	112,98684807	124,38639456	118,88616780	123,70285714	104,86131519	119,6669388	104,1632653	110,5269841	114,1072109	112,9331519	109,2498866	102,7403175	113,3133787	106,0789116	99,07809524	100,7513832	98,54548753	113,9867574	115,0780952	114,2704762	119,2576871	144,404898	132,5278912	121,3518367	133,7549206	129,2212245	113,8031746	133,4073469	100,6628571	104,1197279	134,8614966	122,0368254	131,4213152	123,9481179	125,5096599	127,7485714	100,7746032	126,2889796	122,0614966	121,4693878	115,8443537	105,3199093	113,661678	123,6419048	119,4376417	110,3644444	114,8495238	124,5518367	136,0587755	114,7820408	109,2266667	105,0412698	122,8016327	118,1257143	85,46684807	120,0355556	112,8257596	107,0672109	136,3591837	135,5319728	114,671746	120,5289796	100,2869841	112,622585	130,0215873	106,7885714	123,1949206	124,9015873	122,155102	127,5501134	126,3746032	117,4929705	113,661678	122,5142857	126,4892517	112,9708844	125,8869841	114,9387755	105,6326531	138,6231293	128,7198186	115,3509297	113,6290249	131,5755102	118,6895238	128,0761905	108,5910204	154,0571429	118,3608163	121,723356	116,4248526	130,6122449	117,8107937	122,2704762	115,7485714	149,9863946	104,2575964	121,2807256	129,7763265	131,7964626	106,6898866	98,80090703	113,3409524	124,6679365	113,9112925	113,684898	94,88253968	113,2190476	130,8560544	111,2533333	109,9900227	114,8342857		
5	29		B1a		4/4	5	124,93496599	93,85959184	124,24126984	100,83591837	120,25324263	114,19936508	98,10068027	107,17460318	130,86222222	119,37233560	133,57569161	125,94285714	131,19346939	112,00761905	126,64	111,5428571	118,7497506	123,6636735	120,4861678	116,1491156	109,5836735	120,5104762	114,0832653	106,9757823	107,020771	105,0122449	121,7741497	122,6311111	121,3409524	127,04	152,5828571	142,4914286	130,1855782	140,6664853	138,8088889	120,6819048	143,7953741	107,3922902	111,5167347	143,1365079	129,4280272	140,2253061	132,4342857	134,1104762	136,6302041	108,3326984	135,7148299	130,4507937	129,6457143	123,2253968	113,5640816	121,2734694	132,2797279	128,1973696	117,4450794	122,9641723	132,8936054	145,5640816	122,5839456	116,3657143	111,7812245	131,4438095	125,7244444	91,2	128,7771429	120,6363719	114,4780045	144,8344671	145,1073016	122,3111111	128,5572789	106,9104762	119,2228571	136,7136508	113,6326531	131,2580499	133,9559184	130,837551	136,5355102	134,2229478	125,844898	120,830839	129,1102041	135,1488435	120,6276644	135,1256236	122,1093878	112,7669841	147,8617687	136,8816327	122,7820408	120,0580499	139,6587755	125,8260317	137,0521542	116,2913379	161,4628571	126,3513832	129,9918367	124,7836735	139,5809524	125,5415873	129,6054422	124,2416327	159,7315193	111,5297959	129,2865306	138,7646258	140,6693878	113,975873	105,0702948	120,0863492	132,0315646	121,7625397	121,7015873	101,4363719	120,7183673	140,271746	118,8117914	117,2101587	122,4838095		
6	44.2		B1b (fanf)			6	184,13714286	127,04653061	183,34476191	138,15510204	164,58884354	169,93523810	144,44263039	154,18340136	182,58285714	159,94920635	196,26956916	172,54458050	177,64263039	161,77197279	185,6025397	163,1020408	177,1167347	182,9638095	174,4979592	165,272381	158,6721088	173,4222222	168,1742857	158,7548299	150,2331066	151,3549206	177,6943311	174,5625397	175,8497959	182,9115646	207,5718821	210,4293878	183,3396825	188,7107483	202,8669388	172,9371429	211,8298413	156,4988662	169,4019048	199,5290703	182,4914286	207,2018141	188,3014966	190,4101587	196,3911111	163,1377778	203,2419048	189,8133333	193,25678	173,8031746	171,8276644	178,4126984	195,0258503	189,8303855	168,6869841	178,6311111	192,2920635	205,3456689	180,0243084	168,7898413	160,4136054	187,7565533	184,2155102	134,3608163	184,6987755	181,1577324	166,4359184	207,3034014	207,4064399	178,2828118	181,5307029	155,9060317	169,4839002	185,5085714	159,8664853	188,1904762	193,435102	196,6106122	198,012517	193,2930612	181,7371429	171,0984127	175,3803175	191,2881633	174,5959184	192,4165079	175,3861224	163,1434014	211,3567347	197,1635374	180,4081633	166,492517	194,3096599	178,5295238	199,0066213	163,0853515	210,3321542	189,1149206	189,45161	172,4952381	202,6340136	177,8532426	182,0168707	183,9310658	244,7720635	163,4902494	189,9022222	198,0088889	200,3860317	169,1464853	150,6742857	166,4	181,4291156	171,5606349	172,2978685	150,4391837	172,4190476	211,242449	177,2277551	165,3351474	181,1069388		
7	46			Rit.	6/4 (46)	7	191,20761905	130,43809524	190,88253968	142,16761905	170,28353742	176,10521542	149,51619048	160,37006803	189,18095238	164,71655329	203,36761905	178,08253968	182,96163265	166,80272109	193,6783673	168,6146032	184,4825624	190,2425397	180,7020408	170,6465306	164,0435374	178,9993651	175,0204082	164,5061224	155,2486168	157,1991156	184,454966	180,1650794	182,4783673	191,057415	212,5823129	218,1594558	188,7669841	193,0361905	209,9707937	178,4653061	219,2195918	161,2734694	176,4484581	206,315102	188,0736508	214,9485714	195,9256236	198,3274376	203,2943311	169,9555556	211,2195918	196,3885714	200,1420408	179,4176871	178,5150113	185,1907483	200,8990476	197,4755556	174,4689342	185,2836281	199,3251701	212,7085714	186,7580952	174,7936508	165,7077551	193,9149206	190,8368254	139,279093	190,2875283	187,8494331	172,1063039	213,9918367	214,1634467	184,2590476	187,4779138	161,650068	175,5631746	192,0888889	164,8181406	194,5795918	200,2184127	204,4981633	205,2673016	199,6016327	188,2971429	176,3250794	180,3863946	197,9501134	180,6171429	198,7069388	180,9959184	169,0267574	218,2501587	203,778322	186,442449	171,5577324	200,9687075	184,3149206	206,1257143	168,2372789	215,7765079	196,271746	196,9015873	177,9838549	209,4875283	183,3679819	187,3654422	191,0363719	254,4152381	169,8002721	196,9777778	204,6606803	207,4935147	175,2990476	155,5555556	171,3179138	185,6827211	177,2988662	178,2770068	155,7362358	177,8133333	219,4575964	183,6081633	170,9278912	188,3755102		
8	46.6		{upb}			8	196,25505669	133,80063492	197,03292517	145,49877551	174,53206349	181,45306122	153,87863946	164,74122449	194,44680272	168,78004535	208,55873016	182,78748299	187,65968254	171,14340136	199,4361905	173,5343311	190,0495238	195,7355102	185,2807256	174,5485714	168,3707937	184,6349206	180,1287982	169,2038095	159,6371882	162,0056236	189,4791837	184,9991837	186,5723356	197,4044444	217,8902494	224,4963265	192,8881633	198,2258503	215,5972789	183,0487075	224,9708844	165,3942857	181,7251701	212,1650794	193,1580952	221,3311565	201,9860317	204,8870748	208,399093	175,8563265	217,6986848	201,5651701	206,4863492	184,7161905	183,9804082	190,4326531	206,3796825	203,5911111	180,0707483	190,6996825	206,2577778	218,9235374	192,3134694	179,5337868	170,5447619	199,8889796	196,5815873	142,9768707	194,9315193	193,4106122	176,9959184	219,6201361	219,8407256	189,4820862	193,0971429	166,1155556	180,6686621	198,4493424	169,0318367	199,8715646	206,0887075	211,435102	212,7281633	204,7644444	193,808254	180,8304762	185,0521542	203,6208617	186,4097959	203,6448073	186,4620408	174,0843537	224,4179592	209,7922902	191,3926531	176,5268027	207,1800454	189,384127	212,0634921	173,1526531	220,2790023	202,0310204	203,9466667	183,0080726	215,3186395	188,6853515	191,7503855	196,6106122	262,0995918	175,4035374	202,9496599	210,454059	214,1808617	180,3689796	159,7278912	175,9695238	190,8041723	182,4507937	183,5479365	160,3570068	182,9180952	225,5876644	189,3151927	175,5196372	195,5722449		
9	47	A2	A2a	a tempo	4/4 (47)	9	197,95591837	134,55238095	198,92897959	147,35383220	175,51963719	183,03854875	155,42131519	166,55238095	196,50285714	169,85396825	210,03537415	184,42448980	189,32571429	172,41687075	201,6	174,9333333	191,494966	197,2767347	186,7464853	176,3112925	169,5956463	186,7428571	181,4726531	170,2370975	160,7822222	163,1593651	190,5458503	186,3111111	189,0829932	199,0762812	220,104127	226,3974603	195,4318367	200,0152381	217,5869388	184,854059	227,2696599	166,7004082	183,4153742	213,9069388	194,8647619	223,3512925	204,1614512	207,2032653	210,21678	177,9297959	220,1534694	203,5707937	208,1726984	186,2530612	185,6493424	191,7612698	209,1668027	205,4755556	182,1765079	192,487619	208,1422222	221,0946032	194,0825397	181,1961905	172,2993197	201,752381	198,4101587	144,5500227	196,6236735	195,6636735	178,5534694	221,3746939	222,0756463	191,5501134	194,6180499	167,8759184	182,6771882	200,7839002	170,6155102	201,7610884	208,1306122	213,9486621	215,4753742	206,5980952	195,6926984	182,8419048	186,5941043	204,7528345	188,7317914	206,2628571	188,5808617	175,9891156	226,2552381	215,0530612	193,1297959	178,985941	209,7052154	191,5609977	214,4203175	174,6938776	222,3223583	204,665034	205,5836735	185,1297959	217,594195	190,1191837	193,3801361	198,8179592	265,2038095	176,9070295	204,7303401	212,5090249	216,9324263	181,9805896	161,5782313	177,711746	192,3541043	185,1573696	185,852517	161,4955102	184,7336054	227,1492063	191,3034014	177,2379138	198,4391837		
10	54		A2b			10	224,51809524	152,25324263	222,96380952	167,94013605	198,06185941	208,89251701	176,33015873	185,84380952	222,82412698	192,56235828	238,64308390	209,67619048	214,74031746	196,90013605	228,1977324	200,1995465	215,0530612	221,305034	214,4	200,6813605	193,6413605	210,3695238	204,0714739	195,1172789	182,8571429	185,1515646	218,2211338	209,8488889	216,4926984	222,467483	248,9556463	258,8952381	221,3659864	222,5240816	246,6075283	208,8170522	257,6783673	189,9120181	212,3464853	242,7297959	219,784127	252,4952381	229,3514739	231,5609977	239,5326984	202,564898	250,6361905	230,7918367	236,312381	209,7806803	213,272381	217,8684807	238,2599546	233,9555556	208,6051701	218,1703401	234,7319728	247,2054422	220,1324263	205,3130159	194,3219955	225,5586395	224,5804989	165,3942857	221,4951474	222,4620408	203,0585034	253,3137415	251,2747392	215,4811791	218,2646712	191,2126984	208,792381	226,8386395	192,0246712	228,8326531	236,019229	245,5510204	245,5394104	232,8293878	223,0000907	207,1336054	209,168254	231,410068	212,2006349	232,1893878	215,3142857	197,8049887	254,8767347	241,7429478	220,0903401	200,6087982	236,0511565	216,8562358	241,1479365	197,5989116	246,4986848	231,791746	232,9309751	212,0068934	245,9689796	215,7627211	217,4084354	226,2755556	301,4530612	200,9179138	231,697415	239,8737415	243,6005442	206,4689342	182,1561905	200,584127	218,26322	209,4222222	210,6224036	184,5768707	208,8402721	259,4133333	217,5709751	199,8947846	226,8016327		
